"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","Distance","Availability"
"Gray Partridge",2881,7757335.8,7805870,6636305,8765057,6286991.5,9367051.5,775733.58,780587,663630.5,876505.7,628699.15,936705.15,775733.58,780587,663630.5,876505.7,628699.15,936705.15,7760000,7810000,6640000,8770000,6290000,9370000,776000,781000,664000,877000,629000,937000,776000,781000,664000,877000,629000,937000,2,2,2,2,2,"existing","existing"
"Chukar",2882,6966174,6879310,4629114,9175120,3959722,10364575.5,348308.7,343965.5,231455.7,458756,197986.1,518228.775,348308.7,343965.5,231455.7,458756,197986.1,518228.775,6970000,6880000,4630000,9180000,3960000,10400000,348000,344000,231000,459000,198000,518000,348000,344000,231000,459000,198000,518000,2,3,2,3,2,"existing","existing"
"Northern Bobwhite",2890,21582536.1762615,21537229.3295428,19597428.4529732,23796109.2158256,18758109.8377162,24824616.708126,21582536.1762615,21537229.3295428,19597428.4529732,23796109.2158256,18758109.8377162,24824616.708126,18219977.04,18181729,16544149.1,20088675.4,15835596.325,20956941.425,21600000,21500000,19600000,23800000,18800000,24800000,21600000,21500000,19600000,23800000,18800000,24800000,18200000,18200000,16500000,20100000,15800000,2.1e+07,2,2,2,2,2,"existing","existing"
"Mountain Quail",2920,246225.753794968,241799.750467873,184878.872946559,313003.43106675,156703.108754419,346391.583489291,246225.753794968,241799.750467873,184878.872946559,313003.43106675,156703.108754419,346391.583489291,236819.93,232563,177816.5,301046.7,150717.05,333159.425,246000,242000,185000,313000,157000,346000,246000,242000,185000,313000,157000,346000,237000,233000,178000,301000,151000,333000,4,4,4,4,4,"existing","existing"
"Scaled Quail",2930,6799233.60281924,6667060.53067993,5375928.68988391,8604764.09618574,4951939.52114428,9356724.55431177,6799233.60281924,6667060.53067993,5375928.68988391,8604764.09618574,4951939.52114428,9356724.55431177,3279950.29,3216190,2593348,4150938.2,2388815.625,4513683.925,6800000,6670000,5380000,8600000,4950000,9360000,6800000,6670000,5380000,8600000,4950000,9360000,3280000,3220000,2590000,4150000,2390000,4510000,2,2,2,3,2,"existing","existing"
"California Quail",2940,4349949.02251584,4261051.63812862,3449039.50384252,5171597.1417015,3203066.09815289,5760367.33180531,4349949.02251584,4261051.63812862,3449039.50384252,5171597.1417015,3203066.09815289,5760367.33180531,3226357.19,3160422,2558152.6,3835773.6,2375714.125,4272464.45,4350000,4260000,3450000,5170000,3200000,5760000,4350000,4260000,3450000,5170000,3200000,5760000,3230000,3160000,2560000,3840000,2380000,4270000,3,3,2,3,2,"existing","existing"
"Gambel's Quail",2950,6579709.09213726,6591341.5293164,5346623.61523912,7759241.01594164,5086861.99675763,8687163.53688192,6579709.09213726,6591341.5293164,5346623.61523912,7759241.01594164,5086861.99675763,8687163.53688192,4870300.67,4878911,3957570.8,5743390.2,3765295.25,6430238.45,6580000,6590000,5350000,7760000,5090000,8690000,6580000,6590000,5350000,7760000,5090000,8690000,4870000,4880000,3960000,5740000,3770000,6430000,2,2,2,2,2,"existing","existing"
"Montezuma Quail",2960,192906.181455633,189327.01894317,122906.28115653,279814.556331007,93225.5732801595,338110.667996012,192906.181455633,189327.01894317,122906.28115653,279814.556331007,93225.5732801595,338110.667996012,19348.49,18989.5,12327.5,28065.4,9350.525,33912.5,193000,189000,123000,280000,93200,338000,193000,189000,123000,280000,93200,338000,19300,19000,12300,28100,9350,33900,4,4,4,4,4,"existing","existing"
"Dusky Grouse",2970,21990.99,21078,15045.1,29999,13313.5,33499.55,21990.99,21078,15045.1,29999,13313.5,33499.55,21990.99,21078,15045.1,29999,13313.5,33499.55,22000,21100,15000,30000,13300,33500,22000,21100,15000,30000,13300,33500,22000,21100,15000,30000,13300,33500,5,5,5,5,5,"existing","existing"
"Sooty Grouse",2971,777992.19,751080.5,491352.4,1092119.5,397572.175,1350033.525,777992.19,751080.5,491352.4,1092119.5,397572.175,1350033.525,777992.19,751080.5,491352.4,1092119.5,397572.175,1350033.525,778000,751000,491000,1090000,398000,1350000,778000,751000,491000,1090000,398000,1350000,778000,751000,491000,1090000,398000,1350000,3,4,3,4,3,"existing","existing"
"Spruce Grouse",2980,2068174.66,1921459,1090981.6,3246573.6,918390.525,3871998.3,2068174.66,1921459,1090981.6,3246573.6,918390.525,3871998.3,2068174.66,1921459,1090981.6,3246573.6,918390.525,3871998.3,2070000,1920000,1090000,3250000,918000,3870000,2070000,1920000,1090000,3250000,918000,3870000,2070000,1920000,1090000,3250000,918000,3870000,3,3,3,3,3,"existing","existing"
"Ruffed Grouse",3000,2334829.96,2307179.5,2036389.9,2658782.2,1877842.575,2911486.475,2334829.96,2307179.5,2036389.9,2658782.2,1877842.575,2911486.475,2334829.96,2307179.5,2036389.9,2658782.2,1877842.575,2911486.475,2330000,2310000,2040000,2660000,1880000,2910000,2330000,2310000,2040000,2660000,1880000,2910000,2330000,2310000,2040000,2660000,1880000,2910000,3,3,3,3,3,"existing","existing"
"Willow Ptarmigan",3010,97131592.5,89590481.6666667,51000807,153491370.666667,38174698.5833333,195534806.916667,29139477.75,26877144.5,15300242.1,46047411.2,11452409.575,58660442.075,29139477.75,26877144.5,15300242.1,46047411.2,11452409.575,58660442.075,97100000,89600000,5.1e+07,1.53e+08,38200000,1.96e+08,29100000,26900000,15300000,4.6e+07,11500000,58700000,29100000,26900000,15300000,4.6e+07,11500000,58700000,1,1,1,2,1,"existing","existing"
"Rock Ptarmigan",3020,580355.78,499357,160330,1060731.4,104107.85,1279147.55,290177.89,249678.5,80165,530365.7,52053.925,639573.775,290177.89,249678.5,80165,530365.7,52053.925,639573.775,580000,499000,160000,1060000,104000,1280000,290000,250000,80200,530000,52100,640000,290000,250000,80200,530000,52100,640000,4,4,3,4,3,"existing","existing"
"Greater Prairie-Chicken",3050,407125.84,396954,264907.4,561815,227594.6,662784.5,407125.84,396954,264907.4,561815,227594.6,662784.5,407125.84,396954,264907.4,561815,227594.6,662784.5,407000,397000,265000,562000,228000,663000,407000,397000,265000,562000,228000,663000,407000,397000,265000,562000,228000,663000,4,4,3,4,3,"existing","existing"
"Lesser Prairie-Chicken",3070,31592.5,21375.5,5083.1,68822,1907.55,114330.525,31592.5,21375.5,5083.1,68822,1907.55,114330.525,31592.5,21375.5,5083.1,68822,1907.55,114330.525,31600,21400,5080,68800,1910,114000,31600,21400,5080,68800,1910,114000,31600,21400,5080,68800,1910,114000,5,5,4,5,4,"existing","existing"
"Sharp-tailed Grouse",3080,723498.83,705508,563541.6,892154.7,500310.3,993373.05,723498.83,705508,563541.6,892154.7,500310.3,993373.05,723498.83,705508,563541.6,892154.7,500310.3,993373.05,723000,706000,564000,892000,5e+05,993000,723000,706000,564000,892000,5e+05,993000,723000,706000,564000,892000,5e+05,993000,3,3,3,3,3,"existing","existing"
"Gunnison Sage-Grouse",3089,5806.12,4611,643,12272,144.075,18285.025,5806.12,4611,643,12272,144.075,18285.025,5806.12,4611,643,12272,144.075,18285.025,5810,4610,643,12300,144,18300,5810,4610,643,12300,144,18300,5810,4610,643,12300,144,18300,5,5,5,5,5,"existing","existing"
"Greater Sage-Grouse",3090,199106.48,182923.5,118929.2,300999.4,108621.75,373706.325,199106.48,182923.5,118929.2,300999.4,108621.75,373706.325,199106.48,182923.5,118929.2,300999.4,108621.75,373706.325,199000,183000,119000,301000,109000,374000,199000,183000,119000,301000,109000,374000,199000,183000,119000,301000,109000,374000,4,4,4,4,4,"existing","existing"
"Ring-necked Pheasant",3091,45509912.108072,45563112.0747165,41489994.329553,49864208.1387592,39790286.6911274,51423716.6444296,13652062.8877326,13668021.8130879,12446168.0008005,14958264.5587352,11936289.7238343,15426085.9015409,13643871.65,13659821,12438700.3,14949289.6,11929127.95,15416830.25,45500000,45600000,41500000,49900000,39800000,51400000,13700000,13700000,12400000,1.5e+07,11900000,15400000,13600000,13700000,12400000,14900000,11900000,15400000,2,2,2,2,1,"existing","existing"
"Wild Turkey",3100,2208793.02273988,2197484.74764282,2059394.786467,2368474.09872435,1996400.94287299,2441626.4004437,2208793.02273988,2197484.74764282,2059394.786467,2368474.09872435,1996400.94287299,2441626.4004437,1991226.91,1981032.5,1856544.4,2135179.4,1799755.45,2201126.2,2210000,2200000,2060000,2370000,2e+06,2440000,2210000,2200000,2060000,2370000,2e+06,2440000,1990000,1980000,1860000,2140000,1800000,2200000,3,3,3,3,3,"existing","existing"
"Plain Chachalaca",3110,54759.8253275109,35436.6812227074,0,143860.262008734,0,223137.554585152,54759.8253275109,35436.6812227074,0,143860.262008734,0,223137.554585152,1254,811.5,0,3294.4,0,5109.84999999999,54800,35400,0,144000,0,223000,54800,35400,0,144000,0,223000,1250,812,0,3290,0,5110,5,5,4,5,4,"existing","existing"
"Band-tailed Pigeon",3120,2796252.79727717,2808626.88789619,2170189.74686237,3296149.11720911,2037877.41969794,3897053.4460753,2796252.79727717,2808626.88789619,2170189.74686237,3296149.11720911,2037877.41969794,3897053.4460753,1314518.44,1320335.5,1020206.2,1549519.7,958006.175,1832004.825,2800000,2810000,2170000,3300000,2040000,3900000,2800000,2810000,2170000,3300000,2040000,3900000,1310000,1320000,1020000,1550000,958000,1830000,3,3,3,3,3,"existing","existing"
"Rock Pigeon",3131,154381273.785425,153761189.271255,146719292.510121,163239780.364372,141282333.502024,172828595.90081,46305008.6520947,46119020.9471767,44006879.4778385,48962022.7686703,42376121.8882817,51838085.2307225,15252869.85,15191605.5,14495866.1,16128090.3,13958694.55,17075465.275,1.54e+08,1.54e+08,1.47e+08,1.63e+08,1.41e+08,1.73e+08,46300000,46100000,4.4e+07,4.9e+07,42400000,51800000,15300000,15200000,14500000,16100000,1.4e+07,17100000,1,1,1,1,1,"existing","existing"
"Mourning Dove",3160,146983620.801683,146372211.055276,140740247.516653,154432489.774454,137106879.309337,156567598.077597,146983620.801683,146372211.055276,140740247.516653,154432489.774454,137106879.309337,156567598.077597,125773884.32,125250701,120431429.8,132147881.5,117322356.625,133974893.675,1.47e+08,1.46e+08,1.41e+08,1.54e+08,1.37e+08,1.57e+08,1.47e+08,1.46e+08,1.41e+08,1.54e+08,1.37e+08,1.57e+08,1.26e+08,1.25e+08,1.2e+08,1.32e+08,1.17e+08,1.34e+08,1,1,1,1,1,"existing","existing"
"White-winged Dove",3190,9176467.45365512,9001257.43266877,7064896.29240993,11424978.4889822,6574496.85204617,12943963.273872,9176467.45365512,9001257.43266877,7064896.29240993,11424978.4889822,6574496.85204617,12943963.273872,5247104.09,5146919,4039707.7,6532802.7,3759297.3,7401358.2,9180000,9e+06,7060000,11400000,6570000,12900000,9180000,9e+06,7060000,11400000,6570000,12900000,5250000,5150000,4040000,6530000,3760000,7400000,2,2,2,2,2,"existing","existing"
"Common Ground-Dove",3200,10102795.3872437,9978092.25512528,8843205.5808656,11557253.9863326,8283970.24487471,11954193.3371298,10102795.3872437,9978092.25512528,8843205.5808656,11557253.9863326,8283970.24487471,11954193.3371298,1774050.87,1752153,1552866.9,2029453.8,1454665.175,2099156.35,10100000,9980000,8840000,11600000,8280000,1.2e+07,10100000,9980000,8840000,11600000,8280000,1.2e+07,1770000,1750000,1550000,2030000,1450000,2100000,2,2,2,2,2,"existing","existing"
"Inca Dove",3210,1207437.04607873,1187525.17546536,1047568.81293866,1373248.39792493,955101.159597193,1531726.4266097,1207437.04607873,1187525.17546536,1047568.81293866,1373248.39792493,955101.159597193,1531726.4266097,395677.12,389152,343288.3,450013.5,312986.65,501946.75,1210000,1190000,1050000,1370000,955000,1530000,1210000,1190000,1050000,1370000,955000,1530000,396000,389000,343000,450000,313000,502000,3,3,3,3,3,"existing","existing"
"Turkey Vulture",3250,31000047.2827968,30950787.4697127,29354447.9058498,32605953.6171686,28581338.0062305,33500145.2059536,31000047.2827968,30950787.4697127,29354447.9058498,32605953.6171686,28581338.0062305,33500145.2059536,8955913.66,8941682.5,8480500,9419860,8257148.55,9678191.95,3.1e+07,3.1e+07,29400000,32600000,28600000,33500000,3.1e+07,3.1e+07,29400000,32600000,28600000,33500000,8960000,8940000,8480000,9420000,8260000,9680000,2,2,2,2,2,"existing","existing"
"Black Vulture",3260,23287874.7474747,23188445.5667789,21195590.3479237,25812203.1425365,20455891.1335578,27051660.7744108,23287874.7474747,23188445.5667789,21195590.3479237,25812203.1425365,20455891.1335578,27051660.7744108,2074949.64,2066090.5,1888527.1,2299867.3,1822619.9,2410302.975,23300000,23200000,21200000,25800000,20500000,27100000,23300000,23200000,21200000,25800000,20500000,27100000,2070000,2070000,1890000,2300000,1820000,2410000,2,2,2,2,2,"existing","existing"
"Swallow-tailed Kite",3270,1946740.55944056,1919283.21678322,1501870.62937063,2548930.06993007,1355349.65034965,2674664.33566433,1946740.55944056,1919283.21678322,1501870.62937063,2548930.06993007,1355349.65034965,2674664.33566433,55676.78,54891.5,42953.5,72899.4,38763,76495.4,1950000,1920000,1500000,2550000,1360000,2670000,1950000,1920000,1500000,2550000,1360000,2670000,55700,54900,43000,72900,38800,76500,3,3,3,3,3,"existing","existing"
"White-tailed Kite",3280,141474.757281553,137669.902912621,76097.0873786408,206919.902912621,68012.1359223301,250116.504854369,141474.757281553,137669.902912621,76097.0873786408,206919.902912621,68012.1359223301,250116.504854369,5828.76,5672,3135.2,8525.1,2802.1,10304.8,141000,138000,76100,207000,68000,250000,141000,138000,76100,207000,68000,250000,5830,5670,3140,8530,2800,10300,4,4,4,4,4,"existing","existing"
"Mississippi Kite",3290,792824.04,787978.5,700657.7,906104.7,647904.375,948433.625,792824.04,787978.5,700657.7,906104.7,647904.375,948433.625,792824.04,787978.5,700657.7,906104.7,647904.375,948433.625,793000,788000,701000,906000,648000,948000,793000,788000,701000,906000,648000,948000,793000,788000,701000,906000,648000,948000,3,3,3,3,3,"existing","existing"
"Northern Harrier",3310,1317006.19610989,1315020.05213555,1191339.4826549,1447957.68999398,1147438.99137758,1505185.18147183,658569.126641933,657575.955078713,595729.469567833,724051.43888499,573777.022961997,752668.053745112,656790.99,655800.5,594121,722096.5,572227.825,750635.85,1320000,1320000,1190000,1450000,1150000,1510000,659000,658000,596000,724000,574000,753000,657000,656000,594000,722000,572000,751000,3,3,3,3,3,"existing","existing"
"Sharp-shinned Hawk",3320,361914.31680398,358067.775532411,312637.183273745,413992.383025027,297343.579978237,435952.39390642,361914.31680398,358067.775532411,312637.183273745,413992.383025027,297343.579978237,435952.39390642,232819.48,230345,201119.5,266321.3,191281.125,280448.175,362000,358000,313000,414000,297000,436000,362000,358000,313000,414000,297000,436000,233000,230000,201000,266000,191000,280000,4,4,4,4,4,"existing","existing"
"Cooper's Hawk",3330,887280.825565912,886345.897777323,837733.893270511,935020.792789102,813210.002048551,965919.978490218,887280.825565912,886345.897777323,837733.893270511,935020.792789102,813210.002048551,965919.978490218,866252.27,865339.5,817879.6,912860.8,793936.925,943027.675,887000,886000,838000,935000,813000,966000,887000,886000,838000,935000,813000,966000,866000,865000,818000,913000,794000,943000,3,3,3,3,3,"existing","existing"
"Northern Goshawk",3340,234766.275720165,232394.032921811,179780.041152263,287230.24691358,154761.83127572,309340.020576132,117383.137860082,116197.016460905,89890.0205761317,143615.12345679,77380.9156378601,154670.010288066,114096.41,112943.5,87373.1,139593.9,75214.25,150339.25,235000,232000,180000,287000,155000,309000,117000,116000,89900,144000,77400,155000,114000,113000,87400,140000,75200,150000,4,4,4,4,4,"existing","existing"
"Harris's Hawk",3350,655951.681415929,638699.115044248,453072.566371681,940522.123893805,369526.991150443,1041554.86725664,655951.681415929,638699.115044248,453072.566371681,940522.123893805,369526.991150443,1041554.86725664,37061.27,36086.5,25598.6,53139.5,20878.275,58847.85,656000,639000,453000,941000,370000,1040000,656000,639000,453000,941000,370000,1040000,37100,36100,25600,53100,20900,58800,3,4,3,4,3,"existing","existing"
"Red-tailed Hawk",3370,3181885.14387687,3171479.47802811,3012259.98215481,3362299.01851439,2950365.10149454,3474769.79701093,3181885.14387687,3171479.47802811,3012259.98215481,3362299.01851439,2950365.10149454,3474769.79701093,2852878.22,2843548.5,2700792.3,3014637.3,2645297.35,3115478.6,3180000,3170000,3010000,3360000,2950000,3470000,3180000,3170000,3010000,3360000,2950000,3470000,2850000,2840000,2700000,3010000,2650000,3120000,3,3,3,3,3,"existing","existing"
"Red-shouldered Hawk",3390,2327096.32561916,2302363.98700771,2168457.57206659,2541920.82825822,2048354.85180674,2638567.67661389,2327096.32561916,2302363.98700771,2168457.57206659,2541920.82825822,2048354.85180674,2638567.67661389,2292655.3,2268289,2136364.4,2504300.4,2018039.2,2599516.875,2330000,2300000,2170000,2540000,2050000,2640000,2330000,2300000,2170000,2540000,2050000,2640000,2290000,2270000,2140000,2500000,2020000,2600000,3,3,3,3,3,"existing","existing"
"Zone-tailed Hawk",3400,145829.276315789,134490.131578947,92950.6578947369,211575.657894737,68333.4703947368,302182.154605263,145829.276315789,134490.131578947,92950.6578947369,211575.657894737,68333.4703947368,302182.154605263,8866.42,8177,5651.4,12863.8,4154.675,18372.675,146000,134000,93000,212000,68300,302000,146000,134000,93000,212000,68300,302000,8870,8180,5650,12900,4150,18400,4,4,4,4,4,"existing","existing"
"Swainson's Hawk",3420,1031268.51832069,1036498.2373678,940063.347932913,1122139.51500908,881507.317594274,1174488.38265143,1031268.51832069,1036498.2373678,940063.347932913,1122139.51500908,881507.317594274,1174488.38265143,965370.46,970266,879993.3,1050434.8,825179,1099438.575,1030000,1040000,940000,1120000,882000,1170000,1030000,1040000,940000,1120000,882000,1170000,965000,970000,880000,1050000,825000,1100000,3,3,3,3,3,"existing","existing"
"Broad-winged Hawk",3430,1998142.94648349,2002987.49231085,1859655.42341603,2131567.56202584,1776218.62825507,2211031.24359237,1998142.94648349,2002987.49231085,1859655.42341603,2131567.56202584,1776218.62825507,2211031.24359237,1948988.63,1953714,1813907.9,2079131,1732523.65,2156639.875,2e+06,2e+06,1860000,2130000,1780000,2210000,2e+06,2e+06,1860000,2130000,1780000,2210000,1950000,1950000,1810000,2080000,1730000,2160000,3,3,3,3,3,"existing","existing"
"Common Black Hawk",3450,12966.6666666667,10495.6896551724,0,33770.1149425287,0,42922.4137931034,12966.6666666667,10495.6896551724,0,33770.1149425287,0,42922.4137931034,902.48,730.5,0,2350.4,0,2987.4,13000,10500,0,33800,0,42900,13000,10500,0,33800,0,42900,902,730,0,2350,0,2990,5,5,5,5,5,"existing","existing"
"Rough-legged Hawk",3470,128356.66,118095,53577.2,229919.4,40176.75,292514,64178.33,59047.5,26788.6,114959.7,20088.375,146257,64178.33,59047.5,26788.6,114959.7,20088.375,146257,128000,118000,53600,230000,40200,293000,64200,59000,26800,115000,20100,146000,64200,59000,26800,115000,20100,146000,4,4,4,5,4,"existing","existing"
"Ferruginous Hawk",3480,112377.24,113067,92480.4,131650.2,86424.575,138392.75,112377.24,113067,92480.4,131650.2,86424.575,138392.75,112377.24,113067,92480.4,131650.2,86424.575,138392.75,112000,113000,92500,132000,86400,138000,112000,113000,92500,132000,86400,138000,112000,113000,92500,132000,86400,138000,4,4,4,4,4,"existing","existing"
"Golden Eagle",3490,220169.540472175,216665.261382799,195266.441821248,246620.784148398,188045.583895447,255738.722596965,110096.373985454,108344.049752293,97643.5121745547,123323.389901971,94032.7026457257,127882.839675345,104448.43,102786,92634.4,116996.9,89208.825,121322.45,220000,217000,195000,247000,188000,256000,110000,108000,97600,123000,94000,128000,104000,103000,92600,117000,89200,121000,4,4,4,4,4,"existing","existing"
"Bald Eagle",3520,998324.272427243,985421.542154215,808146.614661466,1212145.21452145,744021.95219522,1341544.10441044,998324.272427243,985421.542154215,808146.614661466,1212145.21452145,744021.95219522,1341544.10441044,998224.44,985323,808065.8,1212024,743947.55,1341409.95,998000,985000,808000,1210000,744000,1340000,998000,985000,808000,1210000,744000,1340000,998000,985000,808000,1210000,744000,1340000,3,3,3,3,3,"existing","existing"
"Gyrfalcon",3540,3778.56,2563,0,8588.00000000001,0,15783.9,1889.28,1281.5,0,4294,0,7891.94999999999,1889.28,1281.5,0,4294,0,7891.94999999999,3780,2560,0,8590,0,15800,1890,1280,0,4290,0,7890,1890,1280,0,4290,0,7890,5,5,5,5,5,"existing","existing"
"Prairie Falcon",3550,108423.335270192,107509.587449157,91107.8442765834,128414.061592098,87775.3631609529,136080.534572923,108423.335270192,107509.587449157,91107.8442765834,128414.061592098,87775.3631609529,136080.534572923,93298.28,92512,78398.3,110500.3,75530.7,117097.3,108000,108000,91100,128000,87800,136000,108000,108000,91100,128000,87800,136000,93300,92500,78400,111000,75500,117000,4,4,4,4,4,"existing","existing"
"Peregrine Falcon",3560,88942.4460431655,84156.9244604317,57842.6258992806,119444.694244604,49705.8228417266,144780.013489209,26683.9336301093,25248.2125994874,17353.5680561176,35835.019560232,14912.417374882,43435.9571023877,19780.8,18716.5,12864.2,26564.5,11054.575,32199.075,88900,84200,57800,119000,49700,145000,26700,25200,17400,35800,14900,43400,19800,18700,12900,26600,11100,32200,4,4,4,5,4,"existing","existing"
"Merlin",3570,1730574.78,1710199,1545659.6,1965022.8,1429217.25,2075627.55,865287.39,855099.5,772829.8,982511.4,714608.625,1037813.775,865287.39,855099.5,772829.8,982511.4,714608.625,1037813.775,1730000,1710000,1550000,1970000,1430000,2080000,865000,855000,773000,983000,715000,1040000,865000,855000,773000,983000,715000,1040000,3,3,3,3,3,"existing","existing"
"American Kestrel",3600,4988819.26570048,4975066.66666667,4682958.06763285,5321425.31400966,4502783.8647343,5437561.40096618,4988819.26570048,4975066.66666667,4682958.06763285,5321425.31400966,4502783.8647343,5437561.40096618,2581713.97,2574597,2423430.8,2753837.6,2330190.65,2813938.025,4990000,4980000,4680000,5320000,4500000,5440000,4990000,4980000,4680000,5320000,4500000,5440000,2580000,2570000,2420000,2750000,2330000,2810000,3,3,2,3,2,"existing","existing"
"Crested Caracara",3620,2410116.39042357,2391648.2504604,1982817.67955801,2876657.45856354,1847618.78453039,3261090.69981584,2410116.39042357,2391648.2504604,1982817.67955801,2876657.45856354,1847618.78453039,3261090.69981584,130869.32,129866.5,107667,156202.5,100325.7,177077.225,2410000,2390000,1980000,2880000,1850000,3260000,2410000,2390000,1980000,2880000,1850000,3260000,131000,130000,108000,156000,1e+05,177000,3,3,3,3,3,"existing","existing"
"Osprey",3640,839882.273286828,835745.794009028,724241.280262618,948372.178908494,692729.636848584,997624.076733689,419984.220785883,417915.76895455,362157.792141172,474234.738894019,346400.353955063,498863.214322356,409358.62,407342.5,352995.2,462236.6,337636.425,486241.975,840000,836000,724000,948000,693000,998000,420000,418000,362000,474000,346000,499000,409000,407000,353000,462000,338000,486000,3,3,3,3,3,"existing","existing"
"Barn Owl",3650,1116066.42754663,1083644.18938307,656968.43615495,1483408.89526542,545106.527977045,1701024.3902439,334867.972449419,325139.905294877,197118.811881188,445086.526043909,163555.424020663,510380.542402066,77789.83,75530,45790.7,103393.6,37993.925,118561.4,1120000,1080000,657000,1480000,545000,1700000,335000,325000,197000,445000,164000,510000,77800,75500,45800,103000,38000,119000,3,3,3,3,3,"existing","existing"
"Long-eared Owl",3660,68382.2289156627,65563.922356091,21341.030789826,121868.139223561,4936.24497991968,147246.318607764,20514.6686746988,19669.1767068273,6402.30923694779,36560.4417670683,1480.8734939759,44173.8955823293,20432.61,19590.5,6376.7,36414.2,1474.95,43997.2,68400,65600,21300,122000,4940,147000,20500,19700,6400,36600,1480,44200,20400,19600,6380,36400,1470,44000,4,5,4,5,4,"existing","existing"
"Short-eared Owl",3670,1944640.25510204,1941484.69387755,1361537.24489796,2472405.6122449,1201727.42346939,2823521.42857143,583332.552800735,582385.981022345,408419.498010407,741646.005509642,360481.44322008,846970.003060912,381149.49,380531,266861.3,484591.5,235538.575,553410.2,1940000,1940000,1360000,2470000,1200000,2820000,583000,582000,408000,742000,360000,847000,381000,381000,267000,485000,236000,553000,3,3,3,3,3,"existing","existing"
"Barred Owl",3680,3821998.4092775,3804160.5090312,3503420.05336617,4191545.25862069,3356372.56260263,4303158.5591133,3821998.4092775,3804160.5090312,3503420.05336617,4191545.25862069,3356372.56260263,4303158.5591133,3724155.25,3706774,3413732.5,4084241.7,3270449.425,4192997.7,3820000,3800000,3500000,4190000,3360000,4300000,3820000,3800000,3500000,4190000,3360000,4300000,3720000,3710000,3410000,4080000,3270000,4190000,3,3,3,3,3,"existing","existing"
"Great Gray Owl",3700,180792.56,163684,104621.2,271772.6,83469.85,362570.4,90396.28,81842,52310.6,135886.3,41734.925,181285.2,90396.28,81842,52310.6,135886.3,41734.925,181285.2,181000,164000,105000,272000,83500,363000,90400,81800,52300,136000,41700,181000,90400,81800,52300,136000,41700,181000,4,4,4,4,4,"existing","existing"
"Boreal Owl",3710,46343.4333333333,39868.3333333333,16795.6666666667,79236.6666666667,6243.91666666667,112413.333333333,13903.03,11960.5,5038.7,23771,1873.175,33724,13903.03,11960.5,5038.7,23771,1873.175,33724,46300,39900,16800,79200,6240,112000,13900,12000,5040,23800,1870,33700,13900,12000,5040,23800,1870,33700,5,5,4,5,4,"existing","existing"
"Northern Saw-whet Owl",3720,54331.7782426778,51055.9623430962,22693.2008368201,90598.9539748954,11575.4968619247,106179.968619247,54331.7782426778,51055.9623430962,22693.2008368201,90598.9539748954,11575.4968619247,106179.968619247,51941.18,48809.5,21694.7,86612.6,11066.175,101508.05,54300,51100,22700,90600,11600,106000,54300,51100,22700,90600,11600,106000,51900,48800,21700,86600,11100,102000,4,5,4,5,4,"existing","existing"
"Eastern Screech-Owl",3730,262216.440642604,260312.434800751,215336.636761945,304844.877947006,193822.527644482,344767.8385145,262216.440642604,260312.434800751,215336.636761945,304844.877947006,193822.527644482,344767.8385145,251360.68,249535.5,206421.7,292224.3,185798.275,330494.45,262000,260000,215000,305000,194000,345000,262000,260000,215000,305000,194000,345000,251000,250000,206000,292000,186000,330000,4,4,4,4,4,"existing","existing"
"Western Screech-Owl",3732,206055.430164631,196066.117896973,114027.482740308,307825.809877855,95745.6186935741,394232.87307488,206055.430164631,196066.117896973,114027.482740308,307825.809877855,95745.6186935741,394232.87307488,155200.95,147677,85885.5,231854.4,72115.6,296936.2,206000,196000,114000,308000,95700,394000,206000,196000,114000,308000,95700,394000,155000,148000,85900,232000,72100,297000,4,4,4,4,4,"existing","existing"
"Great Horned Owl",3750,6376116.46737274,6296687.73488213,5935323.02699009,6892180.56030065,5694529.9795012,7157710.66791937,6376116.46737274,6296687.73488213,5935323.02699009,6892180.56030065,5694529.9795012,7157710.66791937,3732578.58,3686081,3474538.1,4034682.5,3333577.85,4190123.825,6380000,6300000,5940000,6890000,5690000,7160000,6380000,6300000,5940000,6890000,5690000,7160000,3730000,3690000,3470000,4030000,3330000,4190000,2,2,2,2,2,"existing","existing"
